FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
,Tavares,DEF,ARS,4300000,2,47,1.30555555555556,3.03617571059432E-07,1.09302325581395E-05,0,133743,2,18,0,0,0,1,0,10.9,1145,-2,0,47,2,0.5,0,2.2,2,0,3,0,1,1,186931,0,-1,0,1,1079,679,0,0,194,Newcastle,Everton,,,,0.7,1,56.7
Charlie,Taylor,DEF,BUR,4400000,2,75,2.6,5.90909090909091E-07,1.70454545454545E-05,0,102259,3,45,0,0,0,0,0,17,615,-1,0,75,1,0.7,0,3.3,8,0,5,0,3,0.6,107386,0,-1,0,2,2550,1146,0,0,430,Tottenham,Aston Villa,Newcastle,,,4.5,2.2,86.3
Nathan,Tella,MID,SOU,4700000,4,29,0.805555555555556,1.71394799054374E-07,6.17021276595745E-06,0,13916,2,18,0,0,0,0,0,6.2,20,-3,0,29,3,0.5,0,2.2,0,0,1,0,2,0,6609,0,-1,0,0,802,42,0,0,81,Liverpool,Leicester,,,,0.4,0.4,31.7
Alex Nicolao,Telles,DEF,MUN,4900000,0,65,1.75675675675676,3.58521787093216E-07,1.3265306122449E-05,0,229497,1,25,0,0,0,0,0,13.3,784,-1,0,65,1,0.6,0,2.8,6,0,5,0,4,0.8,286595,0,-1,0,1,1568,846,0,0,330,Crystal Palace,,,,,0,0.9,91.5
,Thiago,MID,LIV,5300000,0,65,1.80555555555556,3.40670859538784E-07,1.22641509433962E-05,0,147358,2,6,0,0,0,1,0,12.3,546,-2,0,65,2,0.5,0,2.5,3,0,11,0,3,0.6,101654,0,-1,0,0,1482,1400,0,0,319,Southampton,Wolverhampton,,,,0.9,1.3,108.2
,Thiago Silva,DEF,CHE,5600000,0,126,4.2,7.5E-07,2.25E-05,0,1008018,2,26,0,0,0,3,0,22.5,3923,1,0,126,-1,0.3,0,1.7,14,0,11,0,1,7.9,1334875,0,-1,0,2,2469,4528,0,0,632,Leicester,Watford,,,,4.6,3.7,111.7
Bobby,Thomas,DEF,BUR,3900000,0,0,0,0,0,0,28366,0,0,0,0,0,0,0,0,98,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,33057,0,-1,0,0,0,119,0,0,0,Tottenham,Aston Villa,Newcastle,,,0,0,0
Luke,Thomas,DEF,LEI,4300000,0,48,2.3,5.34883720930233E-07,1.11627906976744E-05,0,208913,2,34,0,0,0,0,0,11.2,744,-2,0,48,2,0,0,0,1,0,5,0,1,0.8,224658,0,-1,0,0,1821,49,0,0,345,Watford,Chelsea,Southampton,,,3.7,2.2,66.2
Dominic,Thompson,DEF,BRE,4400000,0,3,1.5,3.40909090909091E-07,6.81818181818182E-07,0,5323,0,3,0,0,0,0,0,0.7,3,-1,0,3,1,0,0,0,0,0,0,0,0,0,2586,0,-1,0,0,146,0,0,0,12,Everton,Leeds United F.C.,,,,0,0,2.3
Youri,Tielemans,MID,LEI,6400000,4,118,3.8,5.9375E-07,1.84375E-05,0,1172734,3,41,0,0,0,6,0,18.4,2201,-1,0,118,1,0.4,0,2.6,14,0,6,0,4,3.7,1004622,0,-1,0,2,2539,932,0,0,527,Watford,Chelsea,Southampton,,,7.2,4.5,172.9
Kieran,Tierney,DEF,ARS,4900000,0,106,4.8,9.79591836734694E-07,2.16326530612245E-05,0,2250424,0,21,0,0,0,1,0,21.6,3224,-1,0,106,1,0,0,0,11,0,11,0,3,4.8,2015828,0,-1,0,3,1916,31,0,0,454,Newcastle,Everton,,,,0,0,90.1
Takehiro,Tomiyasu,DEF,ARS,4500000,1,75,3.6,8E-07,1.66666666666667E-05,0,703961,2,20,0,0,0,0,0,16.7,2713,0,0,75,0,0.2,0,1,5,0,9,0,1,2.1,831234,0,-1,0,1,1680,1143,0,0,344,Newcastle,Everton,,,,0,4.7,66.4
James,Tomkins,DEF,CRY,4300000,0,17,2.1,4.88372093023256E-07,3.95348837209302E-06,0,24987,2,11,0,0,0,1,0,4,35,-2,0,17,2,0,0,0,2,0,0,0,0,0.1,20809,0,-1,0,1,545,16,0,0,97,Aston Villa,Everton,Man Utd,,,0,0,25.1
Jonathan,Tomkinson,DEF,NOR,4000000,0,0,0,0,0,0,2478,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,0,-1,0,0,0,28,0,0,0,Wolverhampton,Tottenham,,,,0,0,0
Ivan,Toney,FWD,BRE,6800000,2,138,4.3,6.32352941176471E-07,2.02941176470588E-05,0,4619800,7,45,0,0,0,12,0,20.3,13718,3,0,138,-3,0.4,0,2.8,19,0,8,0,5,16.7,3802275,0,-1,0,3,2818,35283,0,0,501,Everton,Leeds United F.C.,,,,4.5,6,257.4
Lucas,Torreira,MID,ARS,4500000,0,0,0,0,0,0,34075,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6292,0,-1,0,0,0,0,0,0,0,Newcastle,Everton,,,,0,0,0
Ferran,Torres,MID,MCI,6700000,0,26,6.5,9.70149253731343E-07,3.88059701492537E-06,0,1835925,0,1,0,0,0,2,0,3.9,115,-3,0,26,3,0,0,0,2,0,3,0,1,1.9,1732247,0,-1,0,1,303,0,0,0,65,West Ham,Aston Villa,,,,0,0,32.3
Cenk,Tosun,FWD,EVE,5000000,0,1,0.0285714285714286,5.71428571428571E-09,2E-07,0,126793,0,0,0,0,0,0,0,0.2,145,0,0,1,0,0,0,0,0,0,0,0,0,0.1,133070,0,-1,0,0,5,197,0,0,3,Brentford F.C.,Crystal Palace,Arsenal,,,0,0,0
,Toti,DEF,WOL,4400000,2,5,0.138888888888889,3.15656565656566E-08,1.13636363636364E-06,0,544,1,3,0,0,0,0,0,1.1,11,-1,0,5,1,0.1,0,0.4,0,0,0,0,0,0,660,0,-1,0,0,270,19,0,0,38,Norwich,Liverpool,,,,0.1,0.1,9.2
Andros,Townsend,MID,EVE,5200000,0,66,3.1,5.96153846153846E-07,1.26923076923077E-05,0,1494332,3,30,0,0,0,3,0,12.7,469,-3,0,66,3,0,0,0,8,0,3,0,2,2.1,1531036,0,-1,0,3,1452,11,0,0,252,Brentford F.C.,Crystal Palace,Arsenal,,,0,0,103.9
Adama,Traore,MID,WOL,5600000,0,44,2.2,3.92857142857143E-07,7.85714285714286E-06,0,581216,0,10,0,0,0,1,0,7.9,117,-4,0,44,4,0,0,0,0,0,5,0,1,1,530240,0,-1,0,0,1069,0,0,0,168,Norwich,Liverpool,,,,0,0,76.6
Bertrand,Traore,MID,AVL,5700000,0,12,0.342857142857143,6.01503759398496E-08,2.10526315789474E-06,0,144140,0,3,0,0,0,0,0,2.1,36,-3,0,12,3,0,0,0.2,0,0,0,0,1,0.3,14498,0,-1,0,0,179,41,0,0,37,Crystal Palace,Burnley,Man City,,,0.4,0.2,8.9
,Trezeguet,MID,AVL,5400000,0,1,1,1.85185185185185E-07,1.85185185185185E-07,0,4041,0,1,0,0,0,0,0,0.2,2,-1,0,1,1,0,0,0,0,0,0,0,0,0,3656,0,-1,0,0,10,0,0,0,4,Crystal Palace,Burnley,Man City,,,0,0,1.4
,Trincao,MID,WOL,5600000,0,65,1.80555555555556,3.22420634920635E-07,1.16071428571429E-05,0,158183,0,15,0,0,0,2,0,11.6,384,-4,0,65,4,0.3,0,1.6,2,0,7,0,1,0.3,135679,0,-1,0,1,1327,78,0,0,195,Norwich,Liverpool,,,,1.3,0.9,87.7
Kieran,Trippier,DEF,NEW,4900000,0,26,0.722222222222222,1.47392290249433E-07,5.30612244897959E-06,0,139133,0,4,0,0,0,2,0,5.3,350,-1,0,26,1,0,0,0,3,0,1,0,0,0.3,158380,0,-1,0,0,339,2331,0,0,88,Arsenal,Burnley,,,,0.4,0.4,28.3
William,Troost-Ekong,DEF,WAT,4300000,0,18,0.5,1.16279069767442E-07,4.18604651162791E-06,0,23320,3,30,0,0,0,0,0,4.2,13,-2,0,18,2,0,0,0.2,0,0,0,0,0,0.1,17451,0,-1,0,0,1388,4,0,0,171,Leicester,Chelsea,,,,0.2,0.2,28.4
Leandro,Trossard,MID,BHA,5900000,3,141,4.1,6.94915254237288E-07,2.38983050847458E-05,0,738188,2,33,0,0,0,8,0,23.9,6173,-6,0,141,6,1.2,0,7,16,0,11,0,4,2.6,844846,0,-1,0,3,2803,10491,0,0,465,Leeds United F.C.,West Ham,,,,4.3,3.6,235.4
Konstantinos,Tsimikas,DEF,LIV,3700000,2,42,1.16666666666667,3.15315315315315E-07,1.13513513513514E-05,0,3148736,3,6,0,0,0,0,0,11.4,4367,-3,0,42,3,0.2,0,0.7,2,0,4,0,2,12,2354291,0,-1,0,0,874,19682,0,0,202,Southampton,Wolverhampton,,,,0.6,0.7,75.5
