FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Joelinton,FWD,NEW,5500000,2,61,2.2,4E-07,1.10909090909091E-05,0,247113,5,36,0,0,0,1,0,11.1,271,-5,0,61,5,0.3,0,1.8,3,0,6,0,2,0.9,147094,0,-1,0,0,2192,209,0,0,179,Burnley,Southampton,Sheffield United,Aston Villa,Bournemouth,2,1.9,1.5,2.5,1.5,2.2,1.6,1.4,2.4,1.4,1.5,106.3
Tyreece,John-Jules,FWD,ARS,4500000,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,-1,0,0,0,7,0,0,0,West Ham,Brighton,Southampton,Norwich,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Johnson,DEF,WHU,3900000,0,0,0,0,0,0,103338,0,0,0,0,0,0,0,0,779,-1,0,0,1,0,0,0,0,0,0,0,0,2.3,156568,0,-1,0,0,0,2260,0,0,0,Southampton,Arsenal,Wolverhampton,Tottenham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke,Johnson,MID,SOU,4400000,0,0,0,0,0,0,3902,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0,3043,0,-1,0,0,0,13,0,0,0,West Ham,Newcastle,Norwich,Arsenal,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Curtis,Jones,MID,LIV,4500000,0,2,0.0740740740740741,1.64609053497942E-08,4.44444444444444E-07,0,517,0,0,0,0,0,0,0,0.4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,633,0,-1,0,0,19,1,0,0,8,Watford,Bournemouth,Everton,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,1.1
Phil,Jones,DEF,MUN,4800000,0,2,0.0740740740740741,1.54320987654321E-08,4.16666666666667E-07,0,13533,0,3,0,0,0,0,0,0.4,14,-2,0,2,2,0,0,0,0,0,0,0,0,0.2,4972,0,-1,0,0,135,8,0,0,22,Everton,Man City,Tottenham,Sheffield United,Brighton,0,0,0,0,0,0,0,0,0,0,0,4.7
,Jonny,DEF,WOL,5400000,0,74,2.8,5.18518518518518E-07,1.37037037037037E-05,0,108511,4,29,0,0,0,1,0,13.7,640,-1,0,74,1,0.8,0,4.5,0,0,6,0,2,1,91919,0,-1,0,0,2193,30,0,0,368,Tottenham,Brighton,West Ham,Bournemouth,Aston Villa,0,0,3,2.7,3.2,2.3,2.3,3.3,1.9,2.9,2.4,99.1
,Jordao,MID,WOL,4500000,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,-1,0,0,0,5,0,0,0,Tottenham,Brighton,West Ham,Bournemouth,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
,Jorginho,MID,CHE,4900000,1,81,3.1,6.3265306122449E-07,1.6530612244898E-05,0,620448,10,32,0,0,0,4,0,16.5,9506,-1,0,81,1,0.3,0,1.5,9,0,4,0,3,4.5,644443,0,-1,0,1,2009,851,0,0,470,Bournemouth,Everton,Aston Villa,Man City,West Ham,0,0,0,1.9,2.3,3.1,2.6,3.7,2.9,2,3,108.9
,Joselu,FWD,NEW,5000000,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,0,-1,0,0,0,2,0,0,0,Burnley,Southampton,Sheffield United,Aston Villa,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
