FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Connor,Wickham,FWD,CRY,4900000,0,8,0.333333333333333,6.80272108843537E-08,1.63265306122449E-06,0,11191,0,1,0,0,0,0,0,1.6,933,-1,0,8,1,0.3,0,1.3,0,0,0,0,1,0.2,9589,0,0,0,0,60,1369,0,0,20,Fulham,West Ham,Leicester,Man Utd,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.8
Georginio,Wijnaldum,MID,LIV,5500000,2,62,2.8,5.09090909090909E-07,1.12727272727273E-05,0,134514,2,10,0,0,0,1,0,11.3,1009,0,0,62,0,0.3,0,1.5,3,0,11,0,1,0.8,125161,0,0,0,0,1769,693,0,0,273,West Ham,Bournemouth,Man Utd,Watford,Everton,2.1,2.9,1.9,2.3,1.7,2.8,2.4,1.6,2.5,1.9,2,2.8,2.8,2.5,70.3
Ashley,Williams,DEF,EVE,4500000,0,0,0,0,0,0,5198,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,1,0,0,0,Wolverhampton,Man City,Watford,Cardiff City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Williams,MID,HUD,4500000,0,4,0.166666666666667,3.7037037037037E-08,8.88888888888889E-07,0,1430,1,0,0,0,0,0,0,0.9,16,0,0,4,0,0,0,0,0,0,1,0,0,0,1094,0,0,0,0,83,5,0,0,6,Chelsea,Arsenal,Newcastle,Wolverhampton,Brighton,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
,Willian,MID,CHE,7200000,1,80,3.5,4.86111111111111E-07,1.11111111111111E-05,0,712542,1,20,0,0,0,3,0,11.1,9982,-3,0,80,3,0.5,0,3.7,3,0,9,0,4,4.2,445866,0,0,0,0,1526,9980,0,0,354,Huddersfield,Man City,Tottenham,Fulham,Wolverhampton,3.9,2,0,2.4,3.3,3.5,2.5,2.9,3.4,2.3,4,2.7,3.3,3.4,180.6
Joseph,Willock,MID,ARS,4500000,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,17,0,0,0,Man City,Huddersfield,Southampton,Bournemouth,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Wilmot,DEF,WAT,4000000,0,1,0.5,1.25E-07,2.5E-07,0,9034,0,2,0,0,0,0,0,0.3,492,0,0,1,0,0,0,0,0,0,0,0,0,0.1,13327,0,0,0,0,26,62,0,0,8,Brighton,Everton,Cardiff City,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Jack,Wilshere,MID,WHU,4800000,0,11,0.458333333333333,9.54861111111111E-08,2.29166666666667E-06,0,234342,2,9,0,0,0,0,0,2.3,354,-2,0,11,2,0,0,0,0,0,1,0,1,0.9,25504,0,0,0,0,338,6,0,0,67,Liverpool,Crystal Palace,Fulham,Man City,Newcastle,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12
Callum,Wilson,FWD,BOU,6400000,0,114,5.4,8.4375E-07,1.78125E-05,0,2783557,3,31,0,0,0,10,0,17.5,320540,4,1,114,-4,0.5,1,3,14,0,6,0,8,15.8,3314385,0,0,0,5,1726,3674,-1,0,367,Cardiff City,Liverpool,Wolverhampton,Arsenal,Man City,0,0,7,5.4,7.2,6.1,7.2,5.8,8,5.5,8.1,6.1,6.3,5.8,155.5
Harry,Winks,MID,TOT,5500000,2,43,2,3.63636363636364E-07,7.81818181818182E-06,0,8887,4,13,0,0,0,1,0,7.8,2098,0,0,43,0,0.9,0,4.7,3,0,5,0,0,0.3,20491,0,0,0,0,1237,2840,0,0,208,Newcastle,Leicester,Burnley,Chelsea,Arsenal,1.4,1.1,1.5,1.1,1.4,1.6,1.1,1,1.6,1.4,1,1.2,1.2,1.2,39.6
