FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jon Gorenc,Stankovic,DEF,HUD,3900000,0,20,0.645161290322581,1.65425971877585E-07,5.12820512820513E-06,0,281449,1,12,0,0,0,1,0,5.1,7312,-1,0,20,1,0.6,0,2.3,2,0,2,0,0,3.3,419659,0,0,0,0,418,10807,0,0,92,Crystal Palace,Leicester,Tottenham,Watford,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.9
Jason,Steele,GLK,BHA,4000000,0,0,0,0,0,0,38809,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.2,24898,0,0,0,0,0,181,0,0,0,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,0,0,0,0,0,0,0,0
Maarten,Stekelenburg,GLK,EVE,3900000,0,0,0,0,0,0,130586,0,0,0,0,0,0,0,0,2859,-1,0,0,1,0,0,0,0,0,0,0,0,3.6,83730,0,0,0,0,0,3713,0,0,0,West Ham,Arsenal,Fulham,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0
Dale,Stephens,MID,BHA,4300000,0,50,2.3,5.34883720930233E-07,1.16279069767442E-05,0,473492,4,32,0,0,0,1,0,11.6,4433,-2,0,50,2,1.2,0,5,4,0,4,0,1,3.5,102359,0,0,0,0,1764,17124,0,1,288,Southampton,Chelsea,Bournemouth,Cardiff City,Wolverhampton,3.5,0,4.5,2.5,2.3,1.2,1.4,57
Jack,Stephens,DEF,SOU,4200000,0,40,1.33333333333333,3.17460317460317E-07,9.52380952380952E-06,0,28799,3,25,0,0,0,1,0,9.5,832,-3,0,40,3,0,0,0,4,0,3,0,0,0.3,29948,0,0,0,1,1272,249,0,0,227,Brighton,Liverpool,Wolverhampton,Newcastle,Watford,0.7,0.9,1,1.4,0.8,0.7,1,51.7
Kazaiah,Sterling,FWD,TOT,4500000,0,0,0,0,0,0,3677,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,4175,0,0,0,0,0,64,0,0,0,Liverpool,Crystal Palace,Huddersfield,Man City,Brighton,0,0,0,0,0,0,0,0
Raheem,Sterling,MID,MCI,11600000,0,198,7.3,6.29310344827586E-07,1.70689655172414E-05,0,1843181,2,17,0,0,0,15,0,17.2,9558,6,-1,198,-6,1,0,12,23,0,12,0,13,23.7,2966490,0,0,0,6,2143,516535,1,0,664,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,18.9,0,9.9,16.8,9,9.6,8.6,295.4
Jamie,Sterry,DEF,NEW,4000000,0,0,0,0,0,0,6190,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6794,0,0,0,0,0,4,0,0,0,Arsenal,Crystal Palace,Leicester,Southampton,Brighton,0,0,0,0,0,0,0,0
,Steve Cook,DEF,BOU,4300000,0,70,2.7,6.27906976744186E-07,1.62790697674419E-05,0,696223,2,47,0,0,0,1,0,16.3,13976,-2,0,70,2,0,0,0,5,0,7,0,1,4.2,764895,1,0,0,1,2340,90,0,0,453,Leicester,Burnley,Brighton,Fulham,Southampton,0,0,1.8,3.1,1.9,2.8,2.2,101.4
,Steven Sessegnon,DEF,FUL,4000000,0,0,0,0,0,0,6272,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9896,0,0,0,0,0,304,0,0,0,Man City,Watford,Everton,Bournemouth,Cardiff City,0,0,0,0,0,0,0,0
John,Stones,DEF,MCI,5200000,0,66,3.5,6.73076923076923E-07,1.26923076923077E-05,0,702428,1,15,0,0,0,0,0,12.7,4781,-3,0,66,3,0.1,0,0.5,7,0,7,0,0,4.7,411101,0,0,0,0,1570,4513,0,0,368,Fulham,Cardiff City,Crystal Palace,Tottenham,Man Utd,8.1,0,3.7,7.1,2.8,3.7,3.1,49.5
Daniel,Sturridge,FWD,LIV,5600000,1,30,1.9,3.39285714285714E-07,5.35714285714286E-06,0,133330,1,3,0,0,0,2,0,5.4,590,-4,0,30,4,0.3,0,1.7,2,0,1,0,1,0.9,92762,0,0,0,0,336,294,0,0,113,Tottenham,Southampton,Chelsea,Cardiff City,Huddersfield,1.3,1.3,1.5,1.2,1.6,1.2,1.4,37.6
