FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Theo,Walcott,MID,EVE,5900000,6,92,2.7,4.57627118644068E-07,1.5593220338983E-05,0,1160366,1,31,0,0,0,4,0,15.6,1121,-6,0,92,6,0.4,0,2.3,4,0,6,0,3,2.6,1130592,0,0,0,1,1973,976,0,0,261,Crystal Palace,Burnley,Tottenham,,,0,2.8,1.4,129
Kyle,Walker,DEF,MCI,6400000,13,132,4.4,6.875E-07,2.0625E-05,0,980748,3,16,0,0,0,1,0,20.6,4133,-1,0,132,1,0.8,0,5.4,7,0,16,0,1,11.7,871642,0,0,0,2,2509,18368,0,0,610,Burnley,Leicester,Brighton,,,3.8,5,4.8,96.9
Kyle,Walker-Peters,DEF,TOT,4200000,0,27,0.771428571428571,1.83673469387755E-07,6.42857142857143E-06,0,113101,1,2,0,0,0,0,0,6.4,1485,-3,0,27,3,0.3,0,1.4,4,0,2,0,3,0.7,117003,0,0,0,1,284,778,0,0,101,West Ham,Bournemouth,Everton,,,0.4,0.4,0.5,21.5
Jonathan,Walters,MID,BUR,4700000,0,0,0,0,0,0,3651,0,0,0,0,0,0,0,0,11,-3,0,0,3,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,12,0,0,0,Man City,Everton,Arsenal,,,0,0,0,0
Aaron,Wan-Bissaka,DEF,CRY,4500000,1,106,3.3,7.33333333333333E-07,2.35555555555556E-05,0,1747263,4,42,0,0,0,0,0,23.6,9791,5,0,106,-5,0.7,0,3.2,15,0,11,0,2,24.9,2345738,0,0,0,2,2864,47390,0,1,607,Everton,Cardiff City,Bournemouth,,,4.3,4.2,2.9,116.7
Victor,Wanyama,MID,TOT,4900000,3,22,0.628571428571429,1.28279883381924E-07,4.48979591836735E-06,0,4515,1,1,0,0,0,1,0,4.5,522,-1,0,22,1,0.6,0,2.8,2,0,3,0,0,0.1,6089,0,0,0,0,416,848,0,0,93,West Ham,Bournemouth,Everton,,,0.3,0.3,0.3,20.8
Danny,Ward,MID,CAR,4300000,0,19,0.542857142857143,1.2624584717608E-07,4.41860465116279E-06,0,46424,0,11,0,0,0,1,0,4.4,98,-2,0,19,2,0,0,0,0,0,0,0,0,0.2,37056,0,0,0,0,331,51,0,0,58,Fulham,Crystal Palace,Man Utd,,,0.3,0.3,0.3,18.3
Danny,Ward,GLK,LEI,4300000,0,0,0,0,0,0,6246,0,0,0,0,0,0,0,0,41,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1208,0,0,0,0,0,21,0,0,0,Arsenal,Man City,Chelsea,,,0,0,0,0
Joel,Ward,DEF,CRY,4300000,0,11,0.314285714285714,7.30897009966777E-08,2.55813953488372E-06,0,19945,1,9,0,0,0,1,0,2.6,91,-2,0,11,2,0,0,0,0,0,0,0,0,0.2,5941,0,0,0,0,371,89,0,0,45,Everton,Cardiff City,Bournemouth,,,0.2,0.2,0.2,16.5
Stephen,Ward,DEF,BUR,4700000,0,7,0.2,4.25531914893617E-08,1.48936170212766E-06,0,116001,1,6,0,0,0,0,0,1.5,92,-3,0,7,3,0,0,0,0,0,1,0,0,0.5,13139,0,0,0,0,228,67,0,0,44,Man City,Everton,Arsenal,,,0.1,0.1,0.1,8.5
